id,czas_przylotu,czas_rozpoczecia_ladowania,czas_zakonczenia_ladowania,czas_odlotu
1,3,3,6,10
2,4,10,15,19
3,6,19,22,26
4,9,26,29,33
5,12,33,35,39
6,14,39,42,46
7,17,46,49,53
8,19,53,56,60
9,23,60,63,67
10,26,67,70,74
11,27,74,76,80
12,32,80,83,87
13,36,87,89,93
