id,czas_przylotu,czas_rozpoczecia_ladowania,czas_zakonczenia_ladowania,czas_odlotu
1,1.0,1.0,4.0,8.0
2,10.0,10.0,13.0,17.0
3,11.0,17.0,21.0,25.0
4,13.0,25.0,27.0,31.0
5,20.0,31.0,36.0,40.0
6,24.0,40.0,43.0,47.0
7,31.0,47.0,51.0,55.0
8,40.0,55.0,57.0,61.0
9,49.0,61.0,65.0,69.0
10,50.0,69.0,73.0,77.0
11,56.0,77.0,81.0,85.0
12,57.0,85.0,88.0,92.0
13,60.0,92.0,95.0,99.0
