time,event,plane_id,plane_cat,passenger_id,queue_len,scanner,door,gate,info
1.0,snapshot,,,,0,1,1,1,air=0 pad=0
2.0,snapshot,,,,0,1,1,1,air=0 pad=0
3.0,snapshot,,,,0,1,1,1,air=0 pad=0
4.0,snapshot,,,,0,1,1,1,air=0 pad=0
5.0,snapshot,,,,0,1,1,1,air=0 pad=0
6.0,snapshot,,,,0,1,1,1,air=0 pad=0
7.0,snapshot,,,,0,1,1,1,air=0 pad=0
8.0,snapshot,,,,0,1,1,1,air=0 pad=1
9.0,snapshot,,,,0,1,1,1,air=0 pad=1
10.0,snapshot,,,,0,1,1,1,air=0 pad=1
11.0,snapshot,,,,0,1,1,1,air=0 pad=1
12.0,snapshot,,,,0,1,1,1,air=0 pad=1
13.0,snapshot,,,,0,1,1,1,air=0 pad=1
14.0,snapshot,,,,0,1,1,1,air=1 pad=1
15.0,snapshot,,,,26,1,1,1,air=0 pad=0
16.0,snapshot,,,,16,1,1,1,air=1 pad=0
17.0,snapshot,,,,0,1,1,1,air=1 pad=1
18.0,snapshot,,,,0,1,1,1,air=2 pad=1
19.0,snapshot,,,,0,1,1,1,air=2 pad=1
20.0,snapshot,,,,0,1,1,1,air=2 pad=1
21.0,snapshot,,,,0,1,1,1,air=2 pad=1
22.0,snapshot,,,,0,1,0,0,air=2 pad=1
23.0,snapshot,,,,0,1,0,0,air=2 pad=1
24.0,snapshot,,,,53,1,0,0,air=1 pad=0
25.0,snapshot,,,,53,1,0,0,air=2 pad=0
26.0,snapshot,,,,53,1,0,0,air=2 pad=1
27.0,snapshot,,,,53,1,0,0,air=2 pad=1
28.0,snapshot,,,,53,1,0,0,air=3 pad=1
29.0,snapshot,,,,53,0,0,0,air=3 pad=1
30.0,snapshot,,,,53,0,0,0,air=3 pad=1
31.0,snapshot,,,,53,0,0,0,air=4 pad=1
32.0,snapshot,,,,53,0,0,0,air=4 pad=1
33.0,snapshot,,,,86,0,1,0,air=3 pad=0
34.0,snapshot,,,,86,0,1,0,air=3 pad=0
35.0,snapshot,,,,86,0,1,0,air=3 pad=0
36.0,snapshot,,,,77,1,1,1,air=3 pad=0
37.0,snapshot,,,,69,1,1,1,air=3 pad=1
38.0,snapshot,,,,59,1,1,1,air=3 pad=1
39.0,snapshot,,,,54,1,1,1,air=3 pad=1
40.0,snapshot,,,,46,1,1,1,air=3 pad=1
41.0,snapshot,,,,32,1,1,1,air=3 pad=1
42.0,snapshot,,,,26,1,1,1,air=3 pad=1
43.0,snapshot,,,,18,1,1,1,air=3 pad=1
44.0,snapshot,,,,51,1,1,1,air=2 pad=0
45.0,snapshot,,,,40,1,1,1,air=2 pad=0
46.0,snapshot,,,,33,1,1,1,air=2 pad=0
47.0,snapshot,,,,25,1,1,1,air=2 pad=0
48.0,snapshot,,,,18,1,1,1,air=2 pad=1
49.0,snapshot,,,,10,1,1,1,air=2 pad=1
50.0,snapshot,,,,4,1,1,1,air=2 pad=1
51.0,snapshot,,,,0,1,1,1,air=2 pad=1
52.0,snapshot,,,,0,1,1,1,air=2 pad=1
53.0,snapshot,,,,0,1,1,1,air=2 pad=1
54.0,snapshot,,,,0,1,1,1,air=2 pad=1
55.0,snapshot,,,,41,1,1,1,air=1 pad=0
56.0,snapshot,,,,36,1,1,1,air=1 pad=0
57.0,snapshot,,,,29,1,1,1,air=1 pad=0
58.0,snapshot,,,,17,1,1,1,air=1 pad=0
59.0,snapshot,,,,15,1,1,1,air=1 pad=1
60.0,snapshot,,,,8,1,1,1,air=1 pad=1
61.0,snapshot,,,,3,1,1,1,air=1 pad=1
62.0,snapshot,,,,0,1,1,1,air=1 pad=1
63.0,snapshot,,,,0,1,1,1,air=1 pad=1
64.0,snapshot,,,,0,1,1,1,air=1 pad=1
65.0,snapshot,,,,0,1,1,1,air=1 pad=1
66.0,snapshot,,,,45,1,1,1,air=0 pad=0
67.0,snapshot,,,,37,1,1,1,air=0 pad=0
68.0,snapshot,,,,24,1,1,1,air=0 pad=1
69.0,snapshot,,,,15,1,1,1,air=0 pad=1
70.0,snapshot,,,,8,1,0,0,air=1 pad=1
71.0,snapshot,,,,8,1,0,0,air=1 pad=1
72.0,snapshot,,,,8,1,0,0,air=1 pad=1
73.0,snapshot,,,,8,1,0,0,air=1 pad=1
74.0,snapshot,,,,8,1,0,0,air=1 pad=1
75.0,snapshot,,,,61,1,0,0,air=0 pad=0
76.0,snapshot,,,,61,1,0,0,air=0 pad=0
77.0,snapshot,,,,61,1,0,0,air=0 pad=0
78.0,snapshot,,,,59,1,1,1,air=0 pad=1
79.0,snapshot,,,,45,1,1,1,air=0 pad=1
80.0,snapshot,,,,34,1,1,1,air=1 pad=1
81.0,snapshot,,,,25,1,1,1,air=1 pad=1
82.0,snapshot,,,,18,1,1,1,air=1 pad=1
83.0,snapshot,,,,9,1,1,1,air=1 pad=1
84.0,snapshot,,,,3,1,1,1,air=1 pad=1
85.0,snapshot,,,,45,1,1,1,air=0 pad=0
86.0,snapshot,,,,37,1,1,1,air=0 pad=0
87.0,snapshot,,,,34,1,1,1,air=0 pad=0
88.0,snapshot,,,,27,1,1,1,air=0 pad=0
89.0,snapshot,,,,19,1,1,1,air=0 pad=1
90.0,snapshot,,,,10,1,1,1,air=0 pad=1
91.0,snapshot,,,,0,1,1,1,air=0 pad=1
92.0,snapshot,,,,0,1,1,1,air=0 pad=1
93.0,snapshot,,,,0,1,1,1,air=0 pad=1
94.0,snapshot,,,,0,1,1,1,air=0 pad=1
95.0,snapshot,,,,0,1,1,1,air=1 pad=1
96.0,snapshot,,,,51,1,1,1,air=0 pad=0
97.0,snapshot,,,,46,1,1,1,air=0 pad=0
98.0,snapshot,,,,37,1,1,1,air=0 pad=0
99.0,snapshot,,,,30,1,1,1,air=0 pad=1
100.0,snapshot,,,,20,1,1,1,air=0 pad=1
101.0,snapshot,,,,9,1,1,1,air=0 pad=1
102.0,snapshot,,,,5,1,1,1,air=0 pad=1
103.0,snapshot,,,,1,1,1,1,air=0 pad=1
104.0,snapshot,,,,0,1,1,1,air=0 pad=1
105.0,snapshot,,,,0,1,1,1,air=0 pad=1
